"pseudo_user","rides_count","avg_length","conversion_potential"
"575","47","28.27","High"
"999","47","17.46","High"
"342","47","14.75","High"
"503","46","13.64","High"
"20110","46","70.74","High"
"836","46","8.68","Medium"
"20105","46","37.82","High"
"553","45","29.51","High"
"KA1503000010","45","58.48","High"
"16951","45","29.71","High"
"16970","45","16.64","High"
"574","45","19.09","High"
"368.0","45","12.32","High"
"375","44","21.39","High"
"810","44","13.86","High"
"16953","43","19.57","High"
"545","43","45.74","High"
"20237","43","25.88","High"
"491","43","11.20","Medium"
"1019","43","16.37","High"
"1011","43","11.71","Medium"
"587","42","14.95","High"
"20128","42","21.97","High"
"1228.0","42","21.43","High"
"418","41","17.87","High"
"861","41","4.91","Medium"
"1092.0","41","11.84","Medium"
"373","41","16.48","High"
"364.0","40","19.45","High"
"354","40","15.56","High"
"21462","40","16.98","High"
"931","40","20.00","High"
"391","40","21.03","High"
"1280.0","39","12.11","High"
"1263.0","39","13.72","High"
"1126.0","39","18.98","High"
"20226","39","52.84","High"
"332.0","39","11.43","Medium"
"20125","38","43.86","High"
"367","38","19.73","High"
"485","38","25.59","High"
"20124","37","22.92","High"
"487","37","19.17","High"
"376","37","18.10","High"
"KA1503000011","37","71.46","High"
"20231","37","19.00","High"
"877","36","18.25","High"
"305","36","20.24","High"
"1235.0","36","11.69","Medium"
"1180.0","36","14.61","High"
"1199.0","35","11.65","Medium"
"547","35","15.59","High"
"1239.0","35","14.24","High"
"814","35","7.75","Medium"
"366.0","35","30.68","High"
"1236.0","35","12.15","High"
"427","34","36.86","High"
"15599","34","17.36","High"
"937","34","9.81","Medium"
"20239","34","35.58","High"
"1195.0","33","30.06","High"
"502","33","12.13","High"
"833","33","9.09","Medium"
"20245","33","45.63","High"
"805","33","19.62","High"
"20119","32","26.24","High"
"1142.0","32","12.31","High"
"20211","32","61.30","High"
"23106","31","22.34","High"
"20101","31","112.97","High"
"1110.0","31","13.31","High"
"582","31","33.14","High"
"20209","31","30.61","High"
"466","31","18.51","High"
"1269.0","31","11.93","Medium"
"1125.0","31","16.21","High"
"419","31","14.42","High"
"23321","31","14.62","High"
"PI00001","30","10.93","Medium"
"564","30","53.59","High"
"567","30","50.58","High"
"1102.0","30","10.27","Medium"
"1093.0","30","16.09","High"
"417","30","13.66","High"
"20208","29","57.85","High"
"PI00003","29","7.60","Medium"
"498","29","14.76","High"
"1203.0","29","16.45","High"
"330.0","29","32.47","High"
"471","29","12.12","High"
"349","29","15.84","High"
"495","29","12.66","High"
"20102","29","34.94","High"
"902","28","15.19","High"
"964","28","14.37","High"
"1131.0","28","8.70","Medium"
"1090.0","28","19.91","High"
"1129.0","28","14.68","High"
"394","27","16.23","High"
"588","27","92.73","High"
"1204.0","27","18.83","High"
"929","27","12.96","High"
"20243","27","25.53","High"
"20236","27","67.73","High"
"20127","27","28.54","High"
"1134.0","27","11.18","Medium"
"20240","27","61.27","High"
"572","27","9.92","Medium"
"493","27","14.05","High"
"629","26","11.08","Medium"
"363.0","26","22.39","High"
"16950","26","25.48","High"
"1217.0","26","14.14","High"
"20126","26","15.58","High"
"508","26","8.19","Medium"
"863","26","13.38","High"
"544","26","13.66","High"
"1057","25","10.98","Medium"
"914","25","14.60","High"
"1127.0","25","10.35","Medium"
"801","25","17.59","High"
"20111","25","21.91","High"
"23104","25","16.31","High"
