"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"TA1305000017","Halsted St & Roosevelt Rd","41.8673477849241640","-87.6486321325464042","9402","7413","1989"
"chargingstx1","Bissell St & Armitage Ave*","41.9183244003151008","-87.6521825565005499","9394","6265","3129"
"TA1305000005","Dearborn St & Adams St","41.8793076675851979","-87.6297665002281467","9373","6524","2849"
"TA1307000061","State St & Pearson St","41.8974445401735933","-87.6287338128185504","9318","6478","2840"
"TA1309000011","Ellis Ave & 58th St","41.7887468343688101","-87.6013218679076471","9312","7169","2143"
"13194","Ogden Ave & Race Ave","41.8917912372088003","-87.6587713627183856","9310","6412","2898"
"KA1504000151","Clark St & Bryn Mawr Ave","41.9835768476868282","-87.6691589804557610","9286","6384","2902"
"13150","Michigan Ave & 18th St","41.8578223085584375","-87.6245515712808804","9285","6168","3117"
"620","Public Rack - Ada St & 95th St","41.8979864175619648","-87.6375588441905778","9285","6307","2978"
"TA1306000025","Racine Ave & Congress Pkwy","41.8746450619219308","-87.6570341866340926","9193","7663","1530"
"SL-012","Wabash Ave & 16th St","41.8603880897344059","-87.6258127846988668","9176","6163","3013"
"636","Public Rack - Ewing Ave & 101st St","41.8899515787956278","-87.6366040329669294","9128","6533","2595"
"TA1309000063","Lake Park Ave & 56th St","41.7932482379446312","-87.5877889779978308","9030","6437","2593"
"TA1309000042","Lincoln Ave & Melrose St","41.9401297057278958","-87.6701580162460594","8974","6239","2735"
"13215","Rhodes Ave & 32nd St","41.8363295386448569","-87.6135085308070276","8917","8181","736"
"KA1504000116","Larrabee St & Oak St","41.9002233031181298","-87.6429852662900627","8868","6966","1902"
"13289","Eckhart Park","41.8963775782078747","-87.6609876925912103","8862","6068","2794"
"13108","Broadway & Argyle St","41.9737815074767364","-87.6597020151733691","8817","6139","2678"
"TA1309000006","Larrabee St & Armitage Ave","41.9180888836449834","-87.6437524405929799","8773","5938","2835"
"TA1309000030","Southport Ave & Clybourn Ave","41.9207712475805202","-87.6637198826421387","8697","5743","2954"
"TA1309000043","Southport Ave & Irving Park Rd","41.9541585554670838","-87.6643325127646007","8617","5666","2951"
"chargingstx4","Morgan St & Lake St*","41.8854962460866608","-87.6523080471968392","8556","5924","2632"
"13224","Ashland Ave & Blackhawk St","41.9070596250637853","-87.6672421423351404","8532","5752","2780"
"SL-007","State St & Harrison St","41.8740469306002535","-87.6277233407801466","8531","5084","3447"
"639","Public Rack - Ewing Ave & 99th St","41.9656503511487554","-87.6452987233053125","8494","3941","4553"
"13006","LaSalle St & Washington St","41.8826752237187327","-87.6325214888449369","8489","6072","2417"
"TA1307000070","Damen Ave & Thomas St (Augusta Blvd)","41.9013233967882445","-87.6774140196485471","8481","5770","2711"
"KA1504000104","Paulina St & Flournoy St","41.8730613031669712","-87.6691072915055679","8464","7140","1324"
"13053","Green St & Washington Blvd","41.8831885917330532","-87.6487359964021880","8451","5500","2951"
"13102","Calumet Ave & 18th St","41.8576354649827608","-87.6194238063057107","8234","4672","3562"
"TA1305000009","Clark St & Ida B Wells Dr","41.8759383250862400","-87.6306309528713820","8191","5790","2401"
"TA1307000140","Western Ave & Leland Ave","41.9664024707661443","-87.6886957603152719","8191","5757","2434"
"TA1309000059","Racine Ave & Wrightwood Ave","41.9288903375655066","-87.6589729544146813","8148","5493","2655"
"13409","Sangamon St & Washington Blvd","41.8831243738652137","-87.6511031218037272","8086","5567","2519"
"23001","Elizabeth St & Randolph St","41.8837166954922799","-87.6590735541703982","8055","5546","2509"
"13136","Damen Ave & Division St","41.9032651449118375","-87.6784475942470105","7969","5350","2619"
"TA1305000010","Michigan Ave & Ida B Wells Dr","41.8762448841644019","-87.6244432932081140","7907","3650","4257"
"13319","Ashland Ave & Grace St","41.9506803858689169","-87.6686951418488760","7865","5105","2760"
"KA1503000022","Clark St & Montrose Ave","41.9615678254789703","-87.6660842695024496","7846","5050","2796"
"TA1306000008","Larrabee St & North Ave","41.9101811246115354","-87.6434962627955435","7817","5371","2446"
"13109","Broadway & Berwyn Ave","41.9783376328767621","-87.6597829138233823","7785","5518","2267"
"637","Wood St & Chicago Ave","41.8955806384917843","-87.6720480576767632","7688","5697","1991"
"TA1308000005","Leavitt St & North Ave","41.9103991665609895","-87.6823684889739071","7671","4989","2682"
"13059","Sheridan Rd & Argyle St","41.9732871679652314","-87.6547459919116601","7574","4733","2841"
"TA1305000004","McCormick Place","41.8513969092773640","-87.6188469080971417","7562","2577","4985"
"WL-008","Clinton St & Roosevelt Rd","41.8671216545144789","-87.6410798195800926","7509","5208","2301"
"KA1706005007","Delano Ct & Roosevelt Rd","41.8674938712352903","-87.6321906160380423","7497","4578","2919"
"18067","Walsh Park","41.9145927021142112","-87.6679625106187286","7485","4952","2533"
"15541","Buckingham Fountain (Temp)","41.8710635404503307","-87.6228121263665648","7440","2473","4967"
"13290","Noble St & Milwaukee Ave (Temp)","41.9004524799242648","-87.6622901370088499","7437","5038","2399"
"13269","Ashland Ave & Wellington Ave","41.9360802559791291","-87.6698222424319160","7426","5214","2212"
"13139","Throop St & Taylor St","41.8689339416662743","-87.6591322788528379","7413","5972","1441"
"15575","Broadway & Thorndale Ave","41.9897464193631402","-87.6601399212957052","7363","4847","2516"
"TA1305000037","Paulina Ave & North Ave","41.9099690415879875","-87.6699697856420811","7353","4613","2740"
"18003","Fairbanks St & Superior St","41.8957541726507915","-87.6201187247179762","7339","5221","2118"
"13248","Ashland Ave & Augusta Blvd","41.8996360000257252","-87.6678538058967626","7288","5370","1918"
"KA1503000007","Cornell Ave & Hyde Park Blvd","41.8024126512826954","-87.5869181273685383","7283","4898","2385"
"KA1504000171","Marine Dr & Ainslie St","41.9715935388817071","-87.6501585385232604","7161","4390","2771"
"15571","Broadway & Granville Ave","41.9947790408248940","-87.6602844248187284","7043","4400","2643"
"13294","Greenview Ave & Diversey Pkwy","41.9326026591351741","-87.6659470380737446","7035","4515","2520"
"22001","Wells St & Institute Pl","41.8973945471413025","-87.6344255851295941","6974","4746","2228"
"TA1307000129","State St & 35th St","41.8310441583727147","-87.6268238819059806","6946","5952","994"
"657","Wood St & Augusta Blvd","41.8989808105135131","-87.6721341167865228","6899","5004","1895"
"TA1308000021","Winthrop Ave & Lawrence Ave","41.9688173213852381","-87.6576517498132143","6886","4608","2278"
"TA1307000115","Clybourn Ave & Division St","41.9046043499707820","-87.6405616193759015","6885","5303","1582"
"KA1504000103","Western Ave & Walton St","41.8984254941123779","-87.6865931423776158","6879","4404","2475"
"TA1307000158","Damen Ave & Leland Ave","41.9670943624237100","-87.6790433644448615","6874","4521","2353"
"KA1503000059","Lake Park Ave & 53rd St","41.7995074996923222","-87.5864382748273066","6872","4546","2326"
"604","Sheridan Rd & Noyes St (NU)","42.0581342925474783","-87.6774278704735274","6767","3790","2977"
"chargingstx5","Lincoln Ave & Roscoe St*","41.9433431750125490","-87.6706941450417676","6763","4826","1937"
"13353","Ada St & Washington Blvd","41.8828395526309745","-87.6612007986307852","6748","4782","1966"
"20246.0","N Green St & W Lake St","41.8868916568909343","-87.6489021172696860","6740","4442","2298"
"13197","Elizabeth St & Fulton St","41.8867071856622007","-87.6596319237937077","6663","4958","1705"
"13285","Wood St & Taylor St (Temp)","41.8692877102072005","-87.6737226864987807","6622","5764","858"
"TA1309000041","Sheridan Rd & Lawrence Ave","41.9695105867697370","-87.6546991378815147","6599","4546","2053"
"13144","Seeley Ave & Roscoe St","41.9433952502909103","-87.6796356825083674","6569","4074","2495"
"15578","Broadway & Ridge Ave","41.9840416990433859","-87.6602743129159208","6559","4449","2110"
"TA1307000119","Clarendon Ave & Leland Ave","41.9679606601668444","-87.6500105647674944","6528","4312","2216"
"15550","Canal St & Taylor St","41.8702373434797686","-87.6394740473416069","6464","4359","2105"
"13241","Western Ave & Division St","41.9028982279692960","-87.6872922890263899","6446","4061","2385"
"13247","Ashland Ave & Chicago Ave","41.8959556374714873","-87.6677309626686578","6428","4493","1935"
